name,DecisionTreeClassifier,RandomGuesser,AdaBoostClassifier,AdaBoostRegressor,GradientBoostingClassifier,GradientBoostingRegressor,BaggingClassifier,BernoulliNB,CalibratedClassifierCV,CategoricalNB,ComplementNB,DummyClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GaussianProcessClassifier,HistGradientBoostingClassifier,KNeighborsClassifier,LabelPropagation,LabelSpreading,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,NuSVC,PassiveAggressiveClassifier,Perceptron,QuadraticDiscriminantAnalysis,RadiusNeighborsClassifier,RandomForestClassifier,RidgeClassifier,RidgeClassifierCV,SGDClassifier,SVC,XGBoostClassifier
breast-cancer-wisc_R,0.9428571428571428,0.5714285714285714,0.95,0.0642857142857142,0.9642857142857144,0.0,0.9642857142857144,0.9428571428571428,0.9642857142857144,0.9,0.8571428571428571,0.6785714285714286,0.9714285714285714,0.9714285714285714,0.9642857142857144,0.9642857142857144,0.9714285714285714,0.9785714285714284,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.9642857142857144,0.9714285714285714,0.8785714285714286,0.9571428571428572,0.9571428571428572,0.9785714285714284,0.9714285714285714,0.95,0.9642857142857144,0.9714285714285714,0.9571428571428572,0.9571428571428572,0.9785714285714284,0.9714285714285714,0.9571428571428572
breast-cancer_R,0.7068965517241379,0.5862068965517241,0.6724137931034483,0.0,0.6724137931034483,0.0,0.6551724137931034,0.6551724137931034,0.6724137931034483,0.6551724137931034,0.6896551724137931,0.6379310344827587,0.6551724137931034,0.6896551724137931,0.6724137931034483,0.6896551724137931,0.7068965517241379,0.6896551724137931,0.7413793103448276,0.7586206896551724,0.6724137931034483,0.6724137931034483,0.6724137931034483,0.6551724137931034,0.6724137931034483,0.6551724137931034,0.7068965517241379,0.6724137931034483,0.6379310344827587,0.6379310344827587,0.6896551724137931,,0.6896551724137931,0.6724137931034483,0.6551724137931034,0.4827586206896552,0.6896551724137931,0.6379310344827587
breast-tissue_R,0.7272727272727273,0.0909090909090909,0.7727272727272727,0.3181818181818182,0.7727272727272727,0.0,0.7727272727272727,0.1363636363636363,0.6818181818181818,0.1818181818181818,0.4090909090909091,0.1363636363636363,0.7727272727272727,0.8636363636363636,0.8636363636363636,0.5909090909090909,0.7272727272727273,0.6818181818181818,0.7272727272727273,0.7272727272727273,0.7727272727272727,0.7727272727272727,0.6363636363636364,0.9090909090909092,0.7272727272727273,0.3181818181818182,0.7727272727272727,0.7727272727272727,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.4090909090909091,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.8181818181818182
car_R,0.9653179190751444,0.1907514450867052,0.8670520231213873,0.3815028901734104,0.96242774566474,0.0,0.96242774566474,0.8092485549132948,0.7803468208092486,0.7052023121387283,0.6040462427745664,0.6791907514450867,0.8815028901734104,0.976878612716763,0.6763005780346821,0.8439306358381503,0.9913294797687862,0.916184971098266,0.9682080924855492,0.9595375722543352,0.8034682080924855,0.7745664739884393,0.8005780346820809,0.8265895953757225,0.9450867052023122,0.6791907514450867,0.6878612716763006,,0.7630057803468208,0.7254335260115607,0.0491329479768786,0.7312138728323699,0.9682080924855492,0.7398843930635838,0.7398843930635838,0.7543352601156069,0.9739884393063584,0.9797687861271676
cardiotocography-10clases_R,0.8051643192488263,0.0821596244131455,0.5704225352112676,0.0,0.892018779342723,0.0,0.8568075117370892,0.6220657276995305,0.7699530516431925,,0.6572769953051644,0.2676056338028169,0.7394366197183099,0.8802816901408451,0.568075117370892,0.7582159624413145,0.9131455399061033,0.7511737089201878,0.8098591549295775,0.8051643192488263,0.7511737089201878,0.7535211267605634,0.7464788732394366,0.8215962441314554,0.812206572769953,0.539906103286385,0.5516431924882629,,0.5915492957746479,0.6103286384976526,0.4647887323943662,0.3990610328638497,0.8732394366197183,0.6666666666666666,0.6713615023474179,0.7112676056338029,0.7934272300469484,0.892018779342723
cardiotocography-3clases_R,0.9272300469483568,0.6525821596244131,0.9107981220657276,0.0,0.9460093896713616,0.0,0.955399061032864,0.8333333333333334,0.8849765258215962,,0.8215962441314554,0.7816901408450704,0.852112676056338,0.9413145539906104,0.7206572769953051,0.903755868544601,0.9671361502347418,0.9107981220657276,0.9248826291079812,0.9225352112676056,0.8826291079812206,0.892018779342723,0.8896713615023474,0.8732394366197183,0.9107981220657276,0.8028169014084507,0.7394366197183099,,0.7981220657276995,0.8075117370892019,0.7769953051643192,0.7934272300469484,0.9483568075117372,0.8685446009389671,0.8685446009389671,0.8755868544600939,0.9107981220657276,0.960093896713615
chess-krvkp_R,0.9875,0.5046875,0.95625,0.3546875,0.9609375,0.0,0.9921875,0.8703125,0.9578125,,0.86875,0.53125,0.940625,0.990625,0.63125,0.959375,0.9875,0.9515625,0.946875,0.9390625,0.9390625,0.9578125,0.946875,0.965625,0.99375,0.8703125,0.8421875,0.93125,0.9515625,0.9546875,0.5890625,,0.984375,0.9390625,0.9390625,0.9578125,0.9484375,0.9921875
congressional-voting_R,0.6091954022988506,0.3793103448275862,0.5632183908045977,0.0114942528735632,0.6091954022988506,0.0,0.5977011494252874,0.5632183908045977,0.5862068965517241,0.5517241379310345,0.5402298850574713,0.6436781609195402,0.5977011494252874,0.6091954022988506,0.4597701149425287,0.6206896551724138,0.5862068965517241,0.5057471264367817,0.5977011494252874,0.5977011494252874,0.5862068965517241,0.5747126436781609,0.5862068965517241,0.5747126436781609,0.5977011494252874,0.5632183908045977,0.4942528735632184,0.6551724137931034,0.5977011494252874,0.5517241379310345,0.4597701149425287,,0.6206896551724138,0.5977011494252874,0.5977011494252874,0.6091954022988506,0.6436781609195402,0.5977011494252874
conn-bench-sonar-mines-rocks_R,0.7380952380952381,0.5238095238095238,0.7619047619047619,0.0,0.8095238095238095,0.0,0.7619047619047619,0.6190476190476191,0.8095238095238095,,0.8095238095238095,0.6190476190476191,0.6428571428571429,0.9047619047619048,0.7380952380952381,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.9523809523809524,0.9523809523809524,0.7142857142857143,0.8333333333333334,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.8095238095238095,0.8571428571428571,0.9047619047619048,0.7380952380952381,0.7857142857142857,0.6666666666666666,,0.7857142857142857,0.8095238095238095,0.8095238095238095,0.8333333333333334,0.8809523809523809,0.7380952380952381
conn-bench-vowel-deterding,0.8737373737373737,0.0757575757575757,0.1464646464646464,0.0101010101010101,0.9646464646464646,0.0,0.9292929292929292,0.0707070707070707,0.6161616161616161,0.0555555555555555,0.3383838383838384,0.0606060606060606,0.8737373737373737,0.98989898989899,0.7070707070707071,0.696969696969697,0.9747474747474748,0.9696969696969696,0.98989898989899,0.9848484848484848,0.696969696969697,0.6212121212121212,0.6313131313131313,0.7474747474747475,0.7929292929292929,0.3737373737373737,0.5202020202020202,0.9595959595959596,0.4898989898989899,0.4242424242424242,0.9747474747474748,0.1464646464646464,0.9848484848484848,0.4747474747474747,0.4747474747474747,0.4595959595959596,0.9646464646464646,0.9494949494949496
contrac_R,0.511864406779661,0.3322033898305084,0.5830508474576271,0.0813559322033898,0.5864406779661017,0.0,0.5661016949152542,0.5084745762711864,0.5389830508474577,0.4338983050847457,0.4542372881355932,0.4406779661016949,0.4338983050847457,0.5050847457627119,0.447457627118644,0.5457627118644067,0.576271186440678,0.4508474576271186,0.4949152542372881,0.488135593220339,0.5457627118644067,0.5254237288135594,0.5322033898305085,0.5254237288135594,0.5830508474576271,0.4508474576271186,0.4779661016949152,0.5559322033898305,0.5288135593220339,0.4338983050847457,0.5288135593220339,0.4508474576271186,0.5525423728813559,0.5186440677966102,0.5186440677966102,0.447457627118644,0.5559322033898305,0.5864406779661017
credit-approval_R,0.7608695652173914,0.463768115942029,0.8188405797101449,0.1014492753623188,0.8260869565217391,0.0,0.8768115942028986,0.8188405797101449,0.8405797101449275,0.8333333333333334,0.8478260869565217,0.4927536231884058,0.7318840579710145,0.8405797101449275,0.782608695652174,0.8405797101449275,0.8188405797101449,0.8405797101449275,0.8478260869565217,0.8478260869565217,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8405797101449275,0.8333333333333334,0.8188405797101449,0.8260869565217391,0.8260869565217391,0.6594202898550725,0.7971014492753623,0.7608695652173914,,0.8478260869565217,0.8260869565217391,0.8333333333333334,0.8260869565217391,0.8260869565217391,0.8333333333333334
cylinder-bands_R,0.7281553398058253,0.4368932038834951,0.7184466019417476,0.0,0.8252427184466019,0.0,0.7766990291262136,0.6893203883495146,0.7184466019417476,,0.5728155339805825,0.6019417475728155,0.7184466019417476,0.7864077669902912,0.6893203883495146,0.7378640776699029,0.8446601941747572,0.7281553398058253,0.7378640776699029,0.7572815533980582,0.7281553398058253,0.7184466019417476,0.7087378640776699,0.7281553398058253,0.7378640776699029,0.6893203883495146,0.5922330097087378,0.7669902912621359,0.6601941747572816,0.6893203883495146,0.6601941747572816,,0.7766990291262136,0.7087378640776699,0.7087378640776699,0.4660194174757281,0.7378640776699029,0.8155339805825242
dermatology_R,0.9594594594594594,0.1756756756756756,0.7162162162162162,0.4864864864864865,1.0,0.0,0.9864864864864864,0.9864864864864864,0.9864864864864864,0.6486486486486487,0.945945945945946,0.4189189189189189,0.918918918918919,1.0,0.9054054054054054,0.9864864864864864,1.0,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9864864864864864,0.9864864864864864,0.9864864864864864,0.9864864864864864,0.9864864864864864,0.972972972972973,,0.972972972972973,0.972972972972973,0.8513513513513513,,0.9864864864864864,0.972972972972973,0.972972972972973,0.9864864864864864,0.9864864864864864,0.9864864864864864
echocardiogram_R,0.6666666666666666,0.4814814814814814,0.7407407407407407,0.1111111111111111,0.8148148148148148,0.0,0.8518518518518519,0.7407407407407407,0.8518518518518519,0.7037037037037037,0.8148148148148148,0.6666666666666666,0.7407407407407407,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.7407407407407407,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.7407407407407407,0.7407407407407407,0.8518518518518519,0.7777777777777778,0.8518518518518519,0.8518518518518519,0.4074074074074074,0.6666666666666666,,0.7777777777777778,0.8518518518518519,0.8148148148148148,0.8148148148148148,0.7777777777777778,0.7407407407407407
ecoli_R,0.7941176470588235,0.2794117647058823,0.6176470588235294,0.0294117647058823,0.8088235294117647,0.0,0.7941176470588235,0.4705882352941176,0.8970588235294118,0.4705882352941176,0.6617647058823529,0.4705882352941176,0.6911764705882353,0.8382352941176471,0.7205882352941176,0.7941176470588235,0.8529411764705882,0.8676470588235294,0.8823529411764706,0.8823529411764706,0.8382352941176471,0.8676470588235294,0.8382352941176471,,0.8088235294117647,0.4705882352941176,0.7941176470588235,,0.8235294117647058,0.7794117647058824,,0.4852941176470588,0.9117647058823528,0.8235294117647058,0.8088235294117647,0.7941176470588235,0.8823529411764706,0.8823529411764706
