,task,task_detailed,target_features,target_nans,num_columns,num_rows,number_of_highly_correlated_features,highest_correlation,number_of_lowly_correlated_features,lowest_correlation,highest_eigenvalue,lowest_eigenvalue,share_of_numerical_features,num_classes,biggest_class_freq,smallest_class_freq,NeuralNetworkModel,XGBoostClassifier,AdaBoostClassifier,BaggingClassifier,BernoulliNB,CalibratedClassifierCV,CategoricalNB,ComplementNB,DecisionTreeClassifier,DummyClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GaussianProcessClassifier,GradientBoostingClassifier,HistGradientBoostingClassifier,KNeighborsClassifier,LabelPropagation,LabelSpreading,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,NuSVC,PassiveAggressiveClassifier,Perceptron,QuadraticDiscriminantAnalysis,RadiusNeighborsClassifier,RandomForestClassifier,RidgeClassifier,RidgeClassifierCV,SGDClassifier,SVC
0,classification,multiclass_classification,1,0,4,120,0.5,0.9633158455620766,0.16666666666666666,0.15590866293804145,2.9775225197621196,0.019416456754567404,1.0,3,0.36666666666666664,0.2916666666666667,0.875,0.875,0.875,0.875,0.0,0.7916666666666667,0.041666666666666685,0.33333333333333337,0.875,0.125,0.0,0.0,0.75,0.9166666666666667,0.375,0.875,0.9166666666666667,0.875,0.9166666666666667,0.9583333333333333,0.875,0.875,0.75,0.25,0.375,1.0,0.875,0.625,0.9583333333333333,1.0,0.9166666666666667,0.125,0.7083333333333334,0.5,0.0,0.875
1,classification,multiclass_classification,1,0,13,142,0.02564102564102564,0.8844593089365006,0.2948717948717949,0.0013026693464848963,4.93191739838333,0.0893139801046477,1.0,3,0.38028169014084506,0.28169014084507044,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.4722222222222222,1.0,0.0,0.8888888888888888,0.75,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.6944444444444444,0.9444444444444444,0.3055555555555556,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9444444444444444,1.0,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.4722222222222222,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.9166666666666666,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.4722222222222222,0.9166666666666666,0.3333333333333333,0.5277777777777778,0.3333333333333333
2,classification,binary_classification,1,0,30,455,0.09195402298850575,0.9978132264440664,0.2574712643678161,0.0026817110864544463,13.549162635124059,0.00011648555118319982,1.0,2,0.6153846153846154,0.38461538461538464,0.9732142857142858,0.9732142857142858,1.0,0.9821428571428573,0.6875000000000001,0.9821428571428573,0.0,0.9017857142857144,0.8928571428571429,0.6875000000000001,0.6875000000000001,0.6875000000000001,0.8482142857142859,0.9642857142857144,0.9285714285714287,0.955357142857143,0.9910714285714287,0.9732142857142858,0.955357142857143,0.9910714285714287,0.9910714285714287,0.9910714285714287,0.9910714285714287,0.9464285714285716,0.9017857142857144,0.9464285714285716,0.3303571428571429,0.9821428571428573,0.955357142857143,0.9642857142857144,0.9196428571428573,0.6875000000000001,0.9642857142857144,0.955357142857143,0.4285714285714286,0.9642857142857144
3,classification,multiclass_classification,1,0,64,1437,0.001092896174863388,0.9380565679244065,0.7978142076502732,0.0002175227686004146,7.277924607803466,0.049595048367497035,1.0,10,0.10508002783576896,0.09394572025052192,0.981308411214953,0.9376947040498442,0.8909657320872273,0.9875389408099686,0.8598130841121495,0.9781931464174454,0.7133956386292835,0.8442367601246105,0.102803738317757,0.0031152647975077746,0.0,0.0,0.9221183800623052,0.9906542056074765,0.9221183800623052,0.9688473520249221,0.9968847352024921,1.0,1.0,0.9563862928348907,0.9719626168224298,0.9875389408099686,0.9719626168224298,0.8816199376947039,0.9283489096573208,0.9221183800623052,0.984423676012461,0.981308411214953,0.9688473520249221,0.9875389408099686,0.4610591900311526,0.006230529595015563,0.9626168224299065,0.9595015576323986,0.9532710280373831,1.0
4,classification,binary_classification,1,0,27,712,0.03133903133903134,1.0,0.7663817663817664,0.0001967423829146253,5.074451399975279,-1.3701868903585807e-15,1.0,2,0.6165730337078652,0.38342696629213485,0.9999999999999999,0.8289473684210525,0.8815789473684209,0.9342105263157893,0.8947368421052632,0.9210526315789475,0.8157894736842103,0.9868421052631579,0.8815789473684209,0.5394736842105264,0.5394736842105264,0.0,0.9078947368421052,0.8947368421052632,0.5394736842105264,0.17105263157894746,0.8552631578947368,0.9210526315789475,0.9078947368421052,0.8947368421052632,0.9078947368421052,0.8421052631578948,0.8552631578947368,0.8684210526315791,0.8684210526315791,0.8157894736842103,0.7500000000000001,0.8421052631578948,0.9736842105263158,0.8684210526315791,0.8289473684210525,0.5394736842105264,0.8289473684210525,0.8421052631578948,0.9078947368421052,0.6052631578947368
